venue,city,country,match_type,temperature,humidity,wind_speed,dew_point,cloud_cover,pitch_age_days,ground_avg_1st_innings,ground_pace_wickets_pct,ground_spin_wickets_pct,season,day_night,soil_composition,pitch_strip_number,grass_coverage,compaction_kpa,pitch_type
M. Chinnaswamy Stadium,Bengaluru,India,ODI,33.41724959122193,47.06594312688419,7.586049206376776,18.482222437678907,67.54403923483306,7,337.99460417325514,48.12212654695853,51.87787345304147,Post-Monsoon,1,Black Soil,8,5.6502343076763655,295.45300771847576,0
M. A. Chidambaram Stadium,Chennai,India,T20,27.342107736656565,80.24083491053865,15.01496645599978,22.360839907473352,66.74174332844818,5,156.7534878162526,61.890952380148065,38.109047619851935,Winter,1,Red Soil,8,1.8991063074917007,100.0,1
M. A. Chidambaram Stadium,Chennai,India,T20,27.65267212943763,80.05612555127223,16.699376805963517,22.264191482577147,61.01622606123124,1,178.55496269604924,39.5836887024555,60.4163112975445,Post-Monsoon,1,Red Soil,8,2.4944404333307855,277.276613739484,2
Rajiv Gandhi International Stadium,Hyderabad,India,T20,28.888329450702745,50.98189553123646,14.930681584803839,12.768914616042306,52.72493006333502,5,190.26449557418408,56.791153025739206,43.208846974260794,Winter,1,Black Soil,9,4.652888831058986,275.6954443887556,0
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India,ODI,32.75004899447948,34.8571781245809,8.979657077805754,15.438591018296034,88.79286319129616,7,239.6990555785519,54.32658928995923,45.67341071004077,Summer,0,Red Soil,4,2.6420174960658454,157.23634090976168,2
Green Park,Kanpur,India,ODI,28.42253151914791,50.21672599678327,4.640187238548904,16.82009488139008,66.79277105238374,6,268.2981640439412,44.7687652995725,55.2312347004275,Winter,1,Red Soil,10,0.5886468883341669,104.35610066405863,2
Arun Jaitley Stadium,Delhi,India,Test,36.74120062658176,54.16878224522142,9.24376176626812,16.73037780690461,36.3621626409591,5,320.6953712660822,36.44599832917544,63.55400167082456,Monsoon,1,Red Soil,3,2.167959891897144,135.19555501719168,2
JSCA International Stadium Complex,Ranchi,India,Test,35.9051718225958,71.52941153876122,12.472783276614265,18.89465404537636,62.32311992990384,5,354.8621849608993,53.91279341690099,46.08720658309901,Post-Monsoon,1,Red Soil,4,4.935389032023704,196.10649301811827,2
Himachal Pradesh Cricket Association Stadium,Dharamsala,India,T20,34.36088065077679,70.33617776591622,8.641628081563539,10.39100463489293,29.710381664452456,6,167.24468853929264,49.631909730720075,50.368090269279925,Winter,0,Red Soil,3,3.349713234993798,242.08137887211694,2
Eden Gardens,Kolkata,India,T20,30.05668255130059,48.60571529530212,8.64922435331452,22.085364969070735,32.834187949226646,1,159.63428557609856,28.903014395057298,71.0969856049427,Summer,1,Red Soil,5,1.6769767885880287,294.08537966888986,2
Punjab Cricket Association IS Bindra Stadium,Mohali,India,ODI,30.644814209149995,51.04935127107897,18.5939750152493,5.721557092995127,0.0,2,258.05024171676547,49.11622305550055,50.88377694449945,Winter,1,Red Soil,2,4.851556956449455,260.6301634847772,2
Brabourne Stadium,Mumbai,India,Test,30.090581053728513,64.70072065182251,18.489084195000025,21.44245249031471,52.029476628598715,3,360.79800155985,42.09731535960033,57.90268464039967,Monsoon,1,Black Soil,1,5.8634795755849245,262.17034585021287,0
Arun Jaitley Stadium,Delhi,India,ODI,29.353002329261404,46.27341722601162,4.253980014058529,7.367478347098933,32.42863589901247,6,248.04725636863142,47.12181329383435,52.87818670616565,Monsoon,0,Red Soil,2,2.678352514363397,168.31047988919687,2
Rajiv Gandhi International Stadium,Hyderabad,India,ODI,33.53143165842923,50.86169720396349,3.1180625046102604,13.735209181675248,43.038002325402886,4,300.3573351908858,61.25423112480842,38.74576887519158,Winter,1,Black Soil,4,4.115018825400371,353.7554815461625,0
Rajiv Gandhi International Stadium,Hyderabad,India,ODI,36.9396751469354,37.24234633911072,3.387294333541605,13.055223477203812,44.24498760844089,2,280.5427634913111,43.60630030620393,56.39369969379607,Summer,1,Black Soil,4,3.180735557011586,442.6734794774228,0
Arun Jaitley Stadium,Delhi,India,ODI,28.14578407451858,20.0,3.109953615760669,7.757525280078421,0.0,2,243.70210256544175,53.73295393816611,46.26704606183389,Winter,1,Mixed Soil,5,2.9931790922810504,249.12794128575797,0
Brabourne Stadium,Mumbai,India,Test,31.238161482464665,79.36044086147282,12.252236894349586,16.50892627091602,25.94917669823801,3,352.5192008725867,50.73954938031498,49.26045061968502,Post-Monsoon,1,Black Soil,8,8.045476786663253,399.834605405512,0
Sawai Mansingh Stadium,Jaipur,India,T20,35.17949124981771,51.883826138664155,7.939253107715162,7.769212560900269,31.22558077524034,3,130.6935688232766,56.73839388674218,43.26160611325782,Monsoon,0,Black Soil,4,2.5655602192659575,276.0788297007708,0
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India,T20,37.95859216772405,44.73097777686203,14.996681662372445,15.389653651831129,52.50711621437313,3,155.16253153874118,42.95002593748414,57.04997406251586,Monsoon,0,Mixed Soil,2,3.294497841498103,227.5124502789182,2
Green Park,Kanpur,India,T20,32.49220927373671,42.893191039643234,10.116776580572777,12.60100220352454,70.64154680099313,7,173.0013593075452,37.6749112595955,62.3250887404045,Winter,1,Mixed Soil,5,0.08307688616165221,174.7919327609887,2
Himachal Pradesh Cricket Association Stadium,Dharamsala,India,ODI,39.01403764160537,61.714595057346216,10.84853272571406,13.24378435958025,26.319397258873337,3,223.15764643759962,51.061123367369284,48.938876632630716,Winter,1,Mixed Soil,9,1.1638852110928926,237.54332430772735,0
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India,T20,20.815327460708545,58.985515698641834,13.769275349668412,13.99558964785235,0.0,7,143.07879022794742,61.19719831500729,38.80280168499271,Post-Monsoon,0,Red Soil,3,1.0839990658392893,175.22851507924184,2
Holkar Cricket Stadium,Indore,India,ODI,30.18823222529852,55.88857680509395,2.5747226043628206,19.761654253174974,18.268805342429978,3,275.4854260312759,36.496925237281204,63.503074762718796,Winter,0,Red Soil,10,5.951199409387517,343.1820220573781,0
Sawai Mansingh Stadium,Jaipur,India,T20,26.700935944729146,62.39506685305976,11.350477170986434,16.647886328507017,75.90888576771286,2,175.30816112713646,54.263104083465436,45.736895916534564,Summer,0,Mixed Soil,2,3.6151517954371166,244.08468945526022,1
M. A. Chidambaram Stadium,Chennai,India,Test,38.239377688360314,76.2489651150443,11.338573092989622,24.663721209118393,49.59880666565064,4,304.9384252056918,35.983959042702736,64.01604095729726,Monsoon,1,Red Soil,9,2.048545475459843,154.6447359785879,2
JSCA International Stadium Complex,Ranchi,India,T20,24.067163587164067,62.20600065535774,8.101567374287194,16.50779114278149,10.206265975580997,4,194.22988347068758,58.96507968137499,41.03492031862501,Post-Monsoon,1,Mixed Soil,7,1.273441403571629,285.1648428426421,0
Punjab Cricket Association IS Bindra Stadium,Mohali,India,ODI,33.2243010952926,53.30439777033512,11.4561570842369,20.894445569012383,61.972746018034954,1,206.92479101677964,46.46049156129855,53.53950843870145,Winter,0,Black Soil,2,0.8462225690914518,291.7673223292925,2
Sawai Mansingh Stadium,Jaipur,India,T20,28.312351905281293,70.20611724421046,7.2872108994408755,16.8488499560425,0.0,6,205.97098635068735,53.821219570451994,46.178780429548006,Winter,0,Black Soil,1,5.035983717999811,171.6072228420876,0
Narendra Modi Stadium,Ahmedabad,India,T20,28.67739438901766,60.03071795116931,11.279534250521115,17.60699256561216,34.80651683131743,2,176.29039584369798,32.96001452437105,67.03998547562895,Winter,0,Mixed Soil,2,4.013124788275581,278.3953725360485,2
Arun Jaitley Stadium,Delhi,India,Test,31.112088748103506,48.176059943157206,8.95295586480196,16.56212238527807,65.82609805074571,4,326.2804617780495,46.831964259895464,53.168035740104536,Winter,0,Mixed Soil,8,3.394598687829979,166.4535934921096,2
Punjab Cricket Association IS Bindra Stadium,Mohali,India,T20,30.666204867093626,45.280159841113786,1.0,10.010730121223325,59.65849433086967,4,150.37822799861112,51.88473342125473,48.11526657874527,Winter,1,Black Soil,7,6.589669868246617,246.23889359781293,1
Wankhede Stadium,Mumbai,India,ODI,26.627119260518562,67.76791485024609,17.54949124238268,20.579103462996514,43.30462880992363,4,319.3643083813762,72.0,28.0,Post-Monsoon,1,Black Soil,10,7.393298556776567,363.3332257962252,0
Punjab Cricket Association IS Bindra Stadium,Mohali,India,ODI,31.16102600800185,34.276886643911936,3.198708168553365,9.291454391255035,0.0,3,272.4086779078359,58.0003513736642,41.9996486263358,Summer,0,Mixed Soil,8,0.0,256.36958158661804,0
Brabourne Stadium,Mumbai,India,T20,35.82341072217826,77.84971843750512,17.816565367582122,21.458337748095513,59.25875785045982,7,193.63151911498565,59.905459580608984,40.094540419391016,Winter,1,Black Soil,4,6.946852408215818,262.26681103135513,1
JSCA International Stadium Complex,Ranchi,India,T20,26.584045458513355,55.196367033212226,4.249572529238183,17.847908091964207,9.007460505565959,5,152.54151185721787,44.003172734278564,55.996827265721436,Summer,0,Black Soil,4,4.594521902109865,231.53064789822423,2
Himachal Pradesh Cricket Association Stadium,Dharamsala,India,T20,31.52938602561069,51.88287119920136,12.740641898210981,18.58242097325738,0.0,6,127.98881740059741,50.682330328689176,49.317669671310824,Post-Monsoon,1,Mixed Soil,1,6.361645471995846,215.39302440459102,2
Rajiv Gandhi International Stadium,Hyderabad,India,ODI,30.246463490942467,45.48198477283533,15.394395195148693,19.794079346066773,31.251454686165552,5,245.97499195944724,53.44288182806861,46.55711817193139,Winter,0,Black Soil,10,5.972219623962173,257.5827356592532,0
M. A. Chidambaram Stadium,Chennai,India,ODI,25.278941250919797,91.71279240742936,13.69550088499575,24.35969042053119,57.21301855182342,6,267.6909205679962,66.54304044819622,33.45695955180378,Winter,0,Red Soil,3,3.161430074442033,169.7754553181254,1
Punjab Cricket Association IS Bindra Stadium,Mohali,India,T20,25.496345645593795,42.831175594446776,6.356947573702363,18.086133039047677,52.80066884178537,7,161.79216992204604,45.86368163303415,54.13631836696585,Winter,0,Red Soil,5,2.530164806579965,170.12671671330236,2
Narendra Modi Stadium,Ahmedabad,India,T20,33.918862695134834,30.367722089622855,10.125643556080167,14.120256818934658,42.513191081809666,7,164.71534710172105,35.15837365711845,64.84162634288154,Winter,0,Red Soil,9,3.734537103694611,100.0,2
Himachal Pradesh Cricket Association Stadium,Dharamsala,India,ODI,28.18772367640879,49.4482394094006,1.8954324084592429,5.622626766324505,55.740847626956054,4,248.33011159006227,45.355777239972554,54.644222760027446,Monsoon,1,Black Soil,8,1.4620545344490234,245.04649199621537,0
M. A. Chidambaram Stadium,Chennai,India,T20,29.954403163713774,92.51098666411451,9.662031154775569,20.78026053518833,76.91917605143095,3,192.8198758054368,34.61446119267403,65.38553880732597,Post-Monsoon,0,Red Soil,6,2.7343156377757274,184.11576532826717,2
